name_tw	itemId		
青銅步兵盾	2230		
青銅小圓盾	2231		
舊化步兵盾	2232		
梣木方盾	2233		
監護圓盾	2234		
夜伏者皮盾	2235		
黑鐵重盾	2236		
舊化圓盾	2237		
古典方盾	2238		
鑲鐵小圓盾	2239		
黑鐵機關盾	2241		
黑鐵步兵盾	2242		
古典重盾	2244		
蛇紋圓盾	2246		
黑鐵鳶盾	2248		
山羊革皮盾	2250		
公牛重盾	2257		
舊化鳶盾	2259		
鑲銀小圓盾	2260		
鑲銀步兵盾	2262		
古典小圓盾	2264		
雙劍機關盾	2268		
盜龍革皮盾	2270		
托爾穆恩的意志	2271		
古典步兵盾	2278		
鈷鐵步兵盾	2279		
鷹紋圓盾	2287		
古典圓盾	2289		
奧布里耶的寄寓	2290		
毒蠍盾	2291		
鳶盾	2294		
鈷鐵雙劍機關盾	2296		
牛血皮盾	2298		
古典鳶盾	2300		
玄鋼步兵盾	2302		
玄鋼小圓盾	2303		
雲杉圓盾	2304		
風化手鋸	2314		
青銅手鋸	2315		
業餘手鋸	2316		
陸行鳥手鋸	2317		
新來者手鋸	2318		
黑鐵雕紋手鋸	2319		
黑鐵陸行鳥手鋸	2320		
白鋼雕紋手鋸	2321		
橫切手鋸	2322		
秘銀手鋸	2323		
秘銀陸行鳥手鋸	2324		
鈷鐵雕紋手鋸	2325		
業餘羊角錘	2328		
青銅羊角錘	2329		
新兵羊角錘	2330		
黑鐵羊角錘	2331		
新來者羊角錘	2332		
初學者羊角錘	2333		
白鋼羊角錘	2334		
革柄白鋼羊角錘	2335		
學徒羊角錘	2336		
秘銀羊角錘	2337		
鈷鐵羊角錘	2338		
民兵羊角錘	2339		
風化橫頭錘	2340		
青銅橫頭錘	2341		
業餘橫頭錘	2342		
青銅鳥嘴錘	2343		
黑鐵橫頭錘	2344		
新來者橫頭錘	2345		
黑鐵鳥嘴錘	2346		
加重鳥嘴錘	2347		
白鋼橫頭錘	2348		
白鋼鳥嘴錘	2349		
革柄白鋼鳥嘴錘	2350		
鈷鐵橫頭錘	2351		
革柄鳥嘴錘	2352		
業餘銼刀	2355		
青銅銼刀	2356		
新兵銼刀	2357		
黑鐵銼刀	2358		
新來者銼刀	2359		
初學者銼刀	2360		
白鋼銼刀	2361		
學徒銼刀	2362		
秘銀銼刀	2363		
鈷鐵銼刀	2364		
民兵銼刀	2365		
風化甲冑錘	2366		
青銅甲冑錘	2367		
業餘甲冑錘	2368		
青銅圓頭錘	2369		
黑鐵甲冑錘	2370		
新來者甲冑錘	2371		
黑鐵圓頭錘	2372		
革柄圓頭錘	2373		
白鋼甲冑錘	2374		
白鋼圓頭錘	2375		
鈷鐵甲冑錘	2376		
鈷鐵圓頭錘	2377		
業餘手鉗	2380		
青銅手鉗	2381		
新兵手鉗	2382		
黑鐵手鉗	2383		
新來者手鉗	2384		
初學者手鉗	2385		
白鋼手鉗	2386		
學徒手鉗	2387		
秘銀手鉗	2388		
鈷鐵手鉗	2389		
民兵手鉗	2390		
風化金工錘	2391		
青銅金工錘	2392		
業餘金工錘	2393		
青銅裝飾錘	2394		
黑鐵金工錘	2395		
新來者金工錘	2396		
黑鐵裝飾錘	2397		
白鋼金工錘	2398		
白鋼裝飾錘	2399		
秘銀裝飾錘	2400		
秘銀工藝錘	2401		
綠金工藝錘	2402		
業餘砂輪機	2405		
砂岩砂輪機	2406		
新兵砂輪機	2407		
泥岩砂輪機	2408		
新來者砂輪機	2409		
初學者砂輪機	2410		
粉岩砂輪機	2411		
學徒砂輪機	2412		
寶石砂輪機	2413		
石蜥蜴砂輪機	2414		
民兵砂輪機	2415		
風化裁皮刀	2416		
青銅裁皮刀	2417		
業餘裁皮刀	2418		
黃銅裁皮刀	2419		
新來者裁皮刀	2420		
黑鐵圓革刀	2421		
黑鐵裁皮刀	2422		
白銀裁皮刀	2423		
白鋼圓革刀	2424		
秘銀裁皮刀	2425		
秘銀圓革刀	2426		
綠金裁皮刀	2427		
業餘平斬	2430		
青銅平斬	2431		
新兵平斬	2432		
黑鐵平斬	2433		
新來者平斬	2434		
初學者平斬	2435		
白鋼平斬	2436		
革柄白鋼平斬	2437		
學徒平斬	2438		
秘銀平斬	2439		
鈷鐵平斬	2440		
民兵平斬	2441		
風化縫針	2442		
紅銅縫針	2443		
蝠牙縫針	2444		
業餘縫針	2445		
黃銅縫針	2446		
新來者縫針	2447		
白銀縫針	2448		
蟲牙針	2449		
秘銀縫針	2450		
狼牙縫針	2451		
仙人針	2452		
綠金縫針	2453		
業餘紡車	2456		
梣木紡車	2457		
新兵紡車	2458		
新來者紡車	2459		
榆木紡車	2460		
初學者紡車	2461		
胡桃紡車	2462		
學徒紡車	2463		
紅木紡車	2464		
紫檀紡車	2465		
民兵紡車	2466		
風化蒸餾器	2467		
青銅蒸餾器	2468		
業餘蒸餾器	2469		
黃銅蒸餾器	2470		
新來者蒸餾器	2471		
黑鐵蒸餾器	2472		
特製蒸餾器	2473		
白鋼蒸餾器	2474		
白銀蒸餾器	2475		
秘銀蒸餾器	2476		
綠金蒸餾器	2477		
熱能蒸餾器	2478		
業餘研缽	2481		
青銅研缽	2482		
新兵研缽	2483		
黑鐵研缽	2484		
新來者研缽	2485		
初學者研缽	2486		
白鋼研缽	2487		
重鋼研缽	2488		
學徒研缽	2489		
秘銀研缽	2490		
鈷鐵研缽	2491		
民兵研缽	2492		
風化平底鍋	2493		
青銅平底鍋	2494		
業餘平底鍋	2495		
黑鐵平底鍋	2496		
新來者平底鍋	2497		
黑鐵煎鍋	2498		
炸彈煎鍋	2499		
白鋼平底鍋	2500		
純白平底鍋	2501		
白鋼煎鍋	2502		
鈷鐵平底鍋	2503		
地獄廚鍋	2504		
業餘廚刀	2507		
青銅廚刀	2508		
新兵廚刀	2509		
黑鐵廚刀	2510		
新來者廚刀	2511		
初學者廚刀	2512		
白鋼廚刀	2513		
革柄白鋼廚刀	2514		
學徒廚刀	2515		
秘銀廚刀	2516		
鈷鐵廚刀	2517		
民兵廚刀	2518		
風化十字鎬	2519		
青銅十字鎬	2520		
業餘十字鎬	2521		
白羽十字鎬	2522		
鐵十字鎬	2523		
新來者十字鎬	2524		
黑鐵十字鎬	2525		
白鋼十字鋤	2526		
白鋼十字鎬	2527		
秘銀十字鎬	2528		
鈷鐵十字鎬	2529		
小鷹十字鎬	2530		
風化碎石錘	2533		
青銅碎石錘	2534		
新兵碎石錘	2535		
新來者碎石錘	2536		
黑鐵碎石錘	2537		
初學者碎石錘	2538		
白鋼碎石錘	2539		
革柄白鋼碎石錘	2540		
學徒碎石錘	2541		
秘銀碎石錘	2542		
鈷鐵碎石錘	2543		
民兵碎石錘	2544		
風化手斧	2545		
青銅手斧	2546		
業餘手斧	2547		
黑鐵手斧	2548		
新來者手斧	2549		
黃銅手斧	2550		
黑鐵陸行鳥手斧	2551		
白鋼手斧	2552		
白鋼陸行鳥手斧	2553		
秘銀手斧	2554		
鈷鐵手斧	2555		
獸角手斧	2556		
風化鐮刀	2559		
青銅鐮刀	2560		
新兵鐮刀	2561		
黑鐵鐮刀	2562		
新來者鐮刀	2563		
初學者鐮刀	2564		
白鋼鐮刀	2565		
革柄白鋼鐮刀	2566		
學徒鐮刀	2567		
秘銀鐮刀	2568		
鈷鐵鐮刀	2569		
民兵鐮刀	2570		
風化釣竿	2571		
柳木釣竿	2572		
業餘釣竿	2573		
榆木釣竿	2574		
新來者釣竿	2575		
紫杉釣竿	2576		
羚羊角釣竿	2577		
胡桃釣竿	2578		
獸角釣竿	2579		
紅木釣竿	2580		
紫檀釣竿	2581		
鍍金紫檀釣竿	2582		
沙蠶	2585		
蛾蛹	2586		
潮蟲	2587		
小龍蝦丸子	2588		
鰕虎丸子	2589		
血蚯蚓	2590		
溝鼠尾巴	2591		
搖蚊	2592		
螃蟹丸子	2593		
奶油蟲	2594		
鱸魚丸子	2595		
匙蟲	2596		
花蠅	2597		
鯡魚丸子	2598		
蜜蟲	2599		
沙蛭	2600		
蛀蟲	2601		
沙壁虎	2602		
火螢	2603		
滾石	2604		
浮游蟲	2605		
極地磷蝦	2606		
石蠶	2607		
沙毛蟲	2608		
氣球蟲	2609		
陸行鳥擬餌	2610		
漂浮誘餌魚	2611		
黃銅勺形魚餌	2612		
小蝦肉籠	2613		
烏鴉擬餌	2614		
白銀勺形魚餌	2615		
鐵板鉤	2616		
下沉誘餌魚	2617		
毛球擬餌	2618		
重鐵板鉤	2619		
旋轉亮片	2620		
磷蝦肉籠	2621		
秘銀勺形魚餌	2622		
雉雞擬餌	2623		
漂浮誘餌蛙	2624		
彩虹勺形魚餌	2625		
複合亮片	2626		
羽毛擬餌	2627		
弓角	2628		
草布兜帽	2629		
草布大地兜帽	2630		
鞣革突騎帽	2631		
夢幻帽	2642		
玉兔武士盔	2644		
公會帽	2650		
草布頭巾	2652		
鞣革眼罩	2653		
硬革盔帽	2654		
草布寬邊帽	2655		
青銅鎖甲頭罩	2656		
舊化廚帽	2657		
草帽	2658		
業餘頭甲	2660		
業餘兜帽	2661		
青銅角盔	2662		
馬僕草帽	2663		
紅銅開面盔	2664		
棉布包頭巾	2665		
馬倌草帽	2666		
舊化頭盔	2667		
黃銅眼鏡	2668		
硬革眼罩	2669		
棉布圍巾	2670		
硬革小帽	2672		
青銅頭盔	2673		
梣木假面	2675		
狩獵帽	2677		
掠奪騎士帽	2679		
黃銅開面盔	2680		
海盜頭巾	2682		
掠奪護目鏡	2683		
掠奪頭盔	2684		
黃銅頭冠（日長石）	2685		
黃銅頭冠（賽黃晶）	2687		
黃銅頭冠（孔雀石）	2689		
黃銅頭冠（榍石）	2691		
黃銅頭冠（螢石）	2693		
黃銅頭冠（天青石）	2695		
山羊革盔帽	2697		
棉布兜帽	2699		
棉布大地兜帽	2700		
舊化小丑帽	2702		
梣木假面（天青石）	2703		
黑漆玉兔武士盔	2705		
銀箔玉兔武士盔	2706		
黑鐵角盔	2708		
山羊革眼罩	2710		
黑鐵頭盔	2712		
新來者頭甲	2714		
棉布圓錐帽	2719		
教練鎖甲頭罩	2721		
教練寬邊帽	2722		
黑鐵騎兵頭盔	2723		
加固角盔	2725		
棉絨頭巾	2727		
白銀眼鏡	2728		
棉絨包頭巾	2729		
白銀作業眼鏡	2731		
棉絨巧匠無簷帽	2733		
棉絨大地無簷帽	2734		
白銀頭冠（石榴石）	2735		
白銀頭冠（透綠柱石）	2737		
白銀頭冠（橄欖石）	2739		
白銀頭冠（金綠柱石）	2741		
白銀頭冠（紫水晶）	2743		
白銀頭冠（海藍石）	2745		
棉絨貝雷帽	2750		
白鋼角盔	2753		
白鋼頭盔	2755		
古典頭盔	2757		
白鋼護目鏡	2758		
舊化兜帽	2759		
棉絨圓錐帽	2763		
白鋼騎兵頭盔	2765		
骷髏眼罩	2767		
秘銀作業眼鏡	2769		
秘銀眼鏡	2774		
亞麻包頭巾	2776		
鮟鱇草帽	2778		
亞麻寬邊帽	2779		
古典廚帽	2785		
白鋼開面盔	2786		
野豬革盔帽	2788		
秘銀頭冠（紅電氣石）	2790		
秘銀頭冠（鋯石）	2792		
秘銀頭冠（電氣石）	2794		
秘銀頭冠（琥珀）	2796		
秘銀頭冠（尖晶石）	2798		
秘銀頭冠（綠松石）	2800		
秘銀騎兵頭盔	2802		
亞麻巧匠無簷帽	2804		
亞麻大地無簷帽	2805		
呢絨兜帽	2806		
呢絨大地兜帽	2808		
呢絨包頭巾	2810		
秘銀頭盔	2812		
呢絨寬邊帽	2814		
亞麻獵鹿帽	2816		
秘銀開面盔	2817		
秘銀口罩	2819		
紅洋蔥頭盔	2820		
探險者突騎帽	2821		
探險者頭巾	2822		
老兵盔帽	2823		
呢絨狩獵帽	2825		
秘銀鎖甲頭罩	2827		
呢絨貝雷帽	2829		
加固騎兵頭盔	2830		
呢絨騎士帽	2832		
鈷鐵護目鏡	2834		
纖維兜帽	2835		
纖維大地兜帽	2837		
鈷鐵騎兵頭盔	2850		
纖維寬邊帽	2852		
呢絨獵鹿帽	2854		
古典小丑帽	2855		
鼻眼鏡	2856		
綠金單片眼鏡	2857		
鈷鐵開面盔	2859		
鈷鐵口罩	2861		
盜龍革盔帽	2862		
綠金頭冠（紅電氣石）	2870		
綠金頭冠（鋯石）	2872		
綠金頭冠（電氣石）	2874		
綠金頭冠（琥珀）	2876		
綠金頭冠（尖晶石）	2878		
綠金頭冠（綠松石）	2880		
纖維狩獵帽	2882		
鈷鐵鎖甲頭罩	2884		
纖維貝雷帽	2886		
海盜三角帽	2887		
古典兜帽	2888		
鈷鐵頭盔	2889		
纖維騎士帽	2891		
鈷鐵角盔	2893		
顯貴無簷帽	2895		
聖堂鎖甲頭罩	2896		
滑稽帽	2906		
民兵開面盔	2911		
民兵戰盔	2912		
民兵寬邊帽	2913		
白銀三角帽	2915		
哨兵頭盔	2919		
木匠頭巾帽	2920		
鐵匠護鏡帽	2921		
甲匠遮面罩	2922		
金匠包頭巾	2923		
革匠工作帽	2924		
衣匠高禮帽	2925		
鍊金單片眼鏡	2926		
烹調高廚帽	2927		
礦工頭燈帽	2928		
樵夫尖角帽	2929		
漁人休閒帽	2930		
軍團面罩	2931		
玫瑰金頭冠	2932		
特務三角帽	2933		
特務小丑帽	2934		
駿鷹革頭巾	2938		
駿鷹革狩獵帽	2939		
玄鋼鎖甲頭罩	2940		
絹布詠咒寬邊帽	2941		
絹布治癒寬邊帽	2942		
草布厚袍	2958		
草布大地厚袍	2959		
草布束腰衣	2960		
草布無領襯衫	2961		
夢幻裝	2965		
人族束腰衣	2983		
人族緊胸衣	2984		
精靈外套	2985		
精靈束身衣	2986		
拉拉菲爾束腰衣	2987		
拉拉菲爾長衫	2988		
貓魅坎肩	2989		
貓魅單衣	2990		
魯加格鬥服	2991		
魯加緊身胸衣	2992		
公會罩衣	2993		
風化束腰牧衣	2995		
貼身背心	2996		
緊身小背心	2997		
舊化工作坎肩	2998		
草布短袖罩衣	2999		
草布僧袍	3000		
草布束腰牧衣	3001		
草布棉甲	3008		
舊化短上衣	3009		
草布短袍	3010		
青銅鎖子鎧	3011		
舊化圍裙裝	3012		
業餘工作坎肩	3013		
業餘無領襯衫	3014		
業餘厚袍	3015		
鞣革皮甲	3016		
硬革格鬥服	3017		
草布長袍	3018		
草布巧匠工作坎肩	3019		
草布大地工作坎肩	3020		
舊化鱗鎧	3021		
棉布襯衫	3022		
棉布束腰牧衣	3023		
棉布僧袍	3024		
青銅胸甲	3026		
棉布短袖罩衣	3028		
掠奪皮甲	3030		
掠奪鎖子鎧	3031		
掠奪外袍	3032		
掠奪胸甲	3033		
棉布厚袍	3036		
棉布大地厚袍	3038		
棉布棉甲	3039		
棉布無領襯衫	3041		
山羊革皮甲	3043		
黑鐵胸甲	3045		
棉布短袍	3050		
棉布巧匠工作坎肩	3052		
棉布大地工作坎肩	3053		
教練鏈甲	3054		
教練格鬥服	3055		
教練長袍	3056		
黑鐵鱗鎧	3057		
舊化鎖子鎧	3059		
棉布束腰獵衣	3060		
棉布長袍	3062		
新來者工作坎肩	3064		
新來者長外衣	3065		
棉絨襯衫	3066		
黑鐵重甲	3068		
古典短上衣	3076		
棉絨巧匠短上衣	3077		
棉絨僧袍	3090		
棉絨大地短上衣	3092		
白鋼鏈甲	3096		
舊化總管短上衣	3098		
巨蟾蜍革皮衣	3099		
巨蟾蜍革皮甲	3100		
白鋼胸甲	3102		
棉絨長外衣	3104		
古典工作坎肩	3105		
棉絨短袍	3106		
舊化長袍	3108		
白鋼鱗鎧	3118		
棉絨巧匠工作坎肩	3120		
棉絨大地工作坎肩	3121		
亞麻襯衫	3125		
白鋼重甲	3127		
學徒工作服	3129		
學徒圍裙裝	3130		
亞麻長袍	3131		
古典圍裙裝	3137		
野豬革格鬥服	3138		
亞麻僧袍	3140		
獸骨鱗鎧	3142		
亞麻巧匠短上衣	3144		
亞麻大地短上衣	3145		
亞麻外袍	3146		
呢絨襯衫	3147		
秘銀胸甲	3149		
呢絨長袍	3160		
亞麻圍裙裝	3162		
亞麻工作服	3163		
古典鱗鎧	3164		
毒蜥蜴革格鬥服	3165		
探險者束腰獵衣	3167		
老兵棉甲	3168		
探險者短袖罩衣	3170		
法師短袍	3171		
呢絨束腰獵衣	3172		
秘銀鎖子鎧	3174		
呢絨長外衣	3176		
野豬革皮衣	3177		
呢絨外袍	3178		
秘銀重甲	3180		
古典總管短上衣	3182		
龜甲鱗鎧	3183		
纖維長袍	3185		
呢絨圍裙裝	3187		
呢絨工作服	3188		
鬥技場肩甲	3189		
鬥技場披肩	3190		
盜龍革格鬥服	3191		
呢絨僧袍	3193		
纖維束腰獵衣	3201		
鈷鐵鎖子鎧	3203		
纖維長外衣	3205		
盜龍革皮衣	3206		
海盜戰裝	3207		
古典長袍	3208		
鈷鐵胸甲	3209		
纖維外袍	3211		
盜龍革皮甲	3213		
顯貴短上衣	3215		
聖堂鎖子鎧	3217		
古典鎖子鎧	3218		
滑稽棉甲	3219		
木匠長外衣	3229		
鐵匠圍裙裝	3230		
甲匠長外衣	3231		
金匠工作服	3232		
革匠工作衫	3233		
衣匠燕尾服	3234		
鍊金大衣	3235		
烹調圍裙裝	3236		
礦工工作衫	3237		
樵夫工作服	3238		
漁人休閒衫	3239		
民兵長袍	3240		
民兵胸甲	3241		
民兵格鬥服	3242		
苔角鱗鎧	3243		
邪鬼工作服	3244		
哨兵胸甲	3248		
特務厚袍	3249		
玄鋼重甲	3256		
玄鋼鎖子鎧	3257		
駿鷹革皮衣	3258		
駿鷹革束腰衣	3259		
絹布詠咒長袍	3260		
絹布治癒長袍	3261		
草布馬褲	3274		
草布巧匠馬褲	3275		
草布牧羊褲	3276		
人族馬褲	3296		
人族短裙	3297		
精靈長褲	3298		
精靈緊身褲	3299		
拉拉菲爾束膝褲	3300		
拉拉菲爾蓬鬆褲	3301		
貓魅輕戰褲	3302		
貓魅腰布裙	3303		
魯加馬褲	3304		
魯加束腿褲	3305		
風化牧羊褲	3306		
草布內褲	3307		
草布熱褲	3308		
草布褲襪	3309		
鞣革及膝褲	3310		
草布垮褲	3311		
草布緊身褲	3312		
草布腿套	3313		
草布束膝褲	3314		
業餘工作褲	3315		
業餘馬褲	3316		
草布打底褲	3317		
草布軟甲褲	3318		
硬革三角褲	3319		
棉布條紋工作褲	3320		
棉布垮褲	3321		
棉布牧羊褲	3322		
棉布褲襪	3324		
內襯草布軟甲褲	3325		
棉布緊身褲	3327		
掠奪軟甲褲	3331		
棉布軟甲褲	3332		
棉布馬褲	3334		
棉布巧匠馬褲	3336		
山羊革襯褲	3337		
內襯棉布軟甲褲	3339		
新來者工作褲	3341		
舊化騎兵褲	3342		
棉布束膝褲	3343		
棉布腿套	3345		
山羊革馬褲	3347		
棉絨褲襪	3348		
棉絨垮褲	3349		
棉絨大地垮褲	3351		
黑鐵重足鎧	3352		
棉絨條紋工作褲	3354		
棉絨緊身褲	3355		
棉絨打底褲	3363		
棉絨軟甲褲	3365		
巨蟾蜍革襯褲	3367		
巨蟾蜍革及膝褲	3369		
內襯棉絨軟甲褲	3370		
棉絨束膝褲	3372		
巨蟾蜍革馬褲	3377		
亞麻褲襪	3379		
亞麻垮褲	3383		
亞麻大地垮褲	3385		
白鋼重足鎧	3386		
亞麻緊身褲	3397		
亞麻軟甲褲	3399		
野豬革三角褲	3402		
亞麻打底褲	3404		
野豬革馬褲	3405		
古典騎兵褲	3406		
亞麻束膝褲	3407		
呢絨垮褲	3408		
呢絨大地垮褲	3410		
內襯亞麻軟甲褲	3411		
呢絨緊身褲	3413		
亞麻工作褲	3415		
毒蜥蜴革三角褲	3416		
托爾穆恩三角褲	3418		
法師褲襪	3419		
探險者馬褲	3420		
呢絨腿套	3421		
野豬革短裙	3423		
呢絨褲襪	3425		
野豬革及膝褲	3426		
呢絨軟甲褲	3427		
呢絨束膝褲	3429		
秘銀重足鎧	3431		
呢絨工作褲	3442		
盜龍革馬褲	3443		
鬥技場三角褲	3445		
鬥技場腰布裙	3446		
盜龍革三角褲	3447		
纖維腿套	3454		
纖維褲襪	3456		
盜龍革及膝褲	3457		
纖維束膝褲	3467		
內襯呢絨軟甲褲	3469		
盜龍革襯褲	3471		
纖維軟甲褲	3473		
顯貴打底褲	3475		
滑稽緊身褲	3476		
民兵軟甲褲	3477		
民兵緊身褲	3478		
民兵三角褲	3479		
哨兵軟甲褲	3480		
木匠工作褲	3481		
鐵匠工作褲	3482		
甲匠工作褲	3483		
金匠軟甲褲	3484		
革匠軟甲褲	3485		
衣匠軟甲褲	3486		
鍊金軟褲	3487		
烹調工作褲	3488		
礦工工作褲	3489		
樵夫工作褲	3490		
漁人休閒褲	3491		
玄鋼重足鎧	3498		
駿鷹革軟甲褲	3499		
駿鷹革腿套	3500		
絹布軟甲褲	3501		
絹布馬褲	3502		
絹布治癒馬褲	3503		
草布半指手套	3515		
鞣革護腕	3516		
人族手套	3520		
人族半指手套	3521		
精靈手套	3522		
精靈半手套	3523		
拉拉菲爾護腕	3524		
拉拉菲爾手環	3525		
貓魅手鎧	3526		
貓魅手套	3527		
魯加臂甲	3528		
魯加護臂	3529		
鞣革半指護手	3530		
鞣革連指輕手套	3531		
草布工作手套	3532		
草布短手套	3533		
鞣革連指手套	3534		
鞣革手箍	3535		
業餘耐熱手套	3536		
硬革護腕	3537		
草布禮服手套	3538		
草布弓術手套	3539		
青銅連指手鎧	3540		
硬革護臂	3541		
硬革連指輕手套	3542		
棉布半指手套	3543		
青銅手鎧	3544		
硬革半指護手	3546		
硬革手箍	3547		
